,id,questions,questions_perturbed,similarity_scores
31,40506,Wo in Mexiko-Stadt ist das Museo Frida Kahlo?,Wo in Mexiko-Stadt ist  Museo Frida Kahlo?,0.99675786
32,40507,Welche Farbe hat das Museo Frida Kahlo?,Welche Farbe  das Museo Frida Kahlo?,0.9920784
33,40509,In welchem Stil ist das Museo Frida Kahlo gebaut?,In welchem Stil ist das  Frida Kahlo gebaut?,0.9976206
34,40510,Mit wem war Frida Kahlo verheiratet?,Mit  war Frida Kahlo verheiratet?,0.9956058
35,40535,Was waren die Hauptprobleme der Aggregat-4 Rakete?,Was  die Hauptprobleme der Aggregat-4 Rakete?,0.991574
36,40536,Was waren die Hauptmotive für den Wettlauf ins All?,Was waren die Hauptmotive für  Wettlauf ins All?,0.998772
37,40540,Wer ist der größte Rosinen Exporteur der Welt?,Wer  der größte Rosinen Exporteur der Welt?,0.99523044
38,40541,Welches Land ist der größte Safran Exporteur?, Land ist der größte Safran Exporteur?,0.96604717
39,40542,Wie viel Prozent des Irans werden für die Landwirtschaft benutzt?,Wie viel Prozent des Irans werden  die Landwirtschaft benutzt?,0.9977232
40,36767,Was tauschen Bakterien mit Sexpili untereinander aus?, tauschen Bakterien mit Sexpili untereinander aus?,0.9894862
41,36768,Wie können Bakterien auch ohne Sexpili DNA untereinander austauschen?,Wie können Bakterien auch ohne  DNA untereinander austauschen?,0.9967427
42,36789,Wie viele schwarze Menschen leben in Frankreich?,Wie viele  Menschen leben in Frankreich?,0.9885629
43,36790,Woher kommen die meisten Schwarzen Frankreichs?,Woher kommen die meisten  Frankreichs?,0.9940536
44,36798,Warum gab es in der französischen Regierung oft schwarze Minister?,Warum gab es in der französischen  oft schwarze Minister?,0.995919
45,36799,Wo leben die meisten schwarzen in Frankreich?,Wo  die meisten schwarzen in Frankreich?,0.9956823
46,36800,Warum sind Schwarze aus Überseegebieten in Frankreich tendenziell besser integriert als Schwarze aus Schwarzafrika?,Warum sind Schwarze  Überseegebieten in Frankreich tendenziell besser integriert als Schwarze  Schwarzafrika?,0.9977335
47,36801,Wie viele Schwarze waren in der Fußballnationalmannschaft Frankreichs bei der WM 2006?,Wie viele Schwarze waren in der Fußballnationalmannschaft Frankreichs  der WM 2006?,0.9991502
48,36802,Wer wurde 2005 als schwarze Frau Ministerin in Frankreich?,Wer  2005 als schwarze Frau Ministerin in Frankreich?,0.99358517
49,41037,Was ist die beste Schweizer Fußball Liga?,Was ist die  Schweizer Fußball Liga?,0.9958526
50,41044,Was ist der größte Leichtathletik Verein der Schweiz?,Was  der größte Leichtathletik Verein der Schweiz?,0.99668723
51,37175,In welcher Eritreischen Stadt Produziert Tesinma Busse?,In welcher Eritreischen Stadt Produziert  Busse?,0.9961961
52,41049,Welche Voraussetzung muss der Staatspräsident von Zypern erfüllen?,Welche Voraussetzung muss der  von Zypern erfüllen?,0.9944149
53,41047,Wer ist das Staatsoberhaupt von Zypern?,Wer ist das Staatsoberhaupt von ?,0.9589287
54,41051,Wie lange ist die Amtsperiode des zypriotischen Staatspräsidenten?,Wie lange ist die Amtsperiode  zypriotischen Staatspräsidenten?,0.9980392
55,41052,Seit wann die ist das Amt des stellvertretenden Staatspräsidenten unbesetzt?,Seit wann die ist das Amt des stellvertretenden Staatspräsidenten ?,0.98745155
56,41053,Als was bezeichnete der Demokratieindex Zypern 2019?,Als  bezeichnete der Demokratieindex Zypern 2019?,0.99220634
57,41054,Wie heißt die große kommunistische Partei in Zypern?,Wie heißt die große kommunistische  in Zypern?,0.994897
58,41055,Wie viele Sitze gibt es im Parlament von zypern?,Wie  Sitze gibt es im Parlament von zypern?,0.9890333
59,41056,In welchen Ländern gibt es die Sommerzeit?,In  Ländern gibt es die Sommerzeit?,0.98742217
60,41046,In welcher Jahreszeit wird auf die Sommerzeit umgestellt?,In welcher Jahreszeit wird auf die  umgestellt?,0.9940298
61,41057,Wann beginnt die Sommerzeit?,Wann  die Sommerzeit?,0.987372
62,41067,Woher kommt der Begriff Pestizid?,Woher kommt  Begriff Pestizid?,0.99734604
63,41105,Von welchem Land ist die Kultur der Tristan da Cunha Inseln stark beeinflusst?,Von  Land ist die Kultur der Tristan da Cunha Inseln stark beeinflusst?,0.99119425
64,41107,Wie viel Alkohol trinken die Bewohner der Inseln Tristan da Cunhas?,Wie viel Alkohol  die Bewohner der Inseln Tristan da Cunhas?,0.97656894
65,41111,Wie viele polnische Spielfilme über Chopin gibt es?,Wie viele polnische Spielfilme über Chopin  es?,0.99684954
66,41115,Was sind die wichtigsten Abschnitt Maßeinheits Größen des Korans?,Was  die wichtigsten Abschnitt Maßeinheits Größen des Korans?,0.9944947
67,41116,Wofür ist die Einteilung des Korans in den Dschuz besonders praktisch?,Wofür ist die Einteilung des Korans in  Dschuz besonders praktisch?,0.9986448
68,41117,Wofür wird die Einteilung des Korans in 30 Teile beim Ramadan benutzt?,Wofür wird die Einteilung  Korans in 30 Teile beim Ramadan benutzt?,0.9993164
69,41118,An was erkennt man die einzelnen Unterteilungen des Korans?,An was erkennt man die einzelnen Unterteilungen des ?,0.97348875
70,41119,Was wird für die MP3 Kompression benutzt?,Was wird für die MP3  benutzt?,0.9949047
71,41122,Welches Verfahren zur Daten Kompression von Musik an Computern wird am häufigsten benutzt?,Welches Verfahren zur Daten Kompression  Musik an Computern wird am häufigsten benutzt?,0.9988234
72,41123,Wo wurde das MP3 Verfahren entwickelt?,Wo wurde  MP3 Verfahren entwickelt?,0.99519885
73,41124,Wann liefen die letzten Patente für das MP3 Format aus?,Wann liefen die letzten Patente  das MP3 Format aus?,0.9974363
74,41133,Welches Land hatte die größte freiwillige Armee im zweiten Weltkrieg?,Welches Land hatte die größte  Armee im zweiten Weltkrieg?,0.99815744
75,41134,Wo wurde die indische Armee am Anfang des zweiten Weltkriegs eingesetzt?,Wo wurde die indische  am Anfang des zweiten Weltkriegs eingesetzt?,0.9967569
76,41135,Wer gründete die Indische Legion in Europa?,Wer gründete die Indische Legion in ?,0.9827605
77,41136,Wo hat Subhash Chandra Bose die Indische Nationale Armee gegründet?,Wo hat Subhash Chandra Bose  Indische Nationale Armee gegründet?,0.99720645
78,41137,Wie viele Soldaten in Indien wurden während des Zweiten Weltkriegs getötet?,Wie  Soldaten in Indien wurden während des Zweiten Weltkriegs getötet?,0.9930213
79,41131,Warum wollte Indien in den zweiten Weltkrieg eintreten?,Warum wollte Indien in den  Weltkrieg eintreten?,0.9984762
80,41132,Wie viel Mann hatte die indische Armee zu Beginn des zweiten Weltkrieges?,Wie viel Mann hatte die indische Armee zu Beginn des zweiten ?,0.9799256
81,41186,Was kann die Lebensdauer einer Glühbirne verlängern?,Was  die Lebensdauer einer Glühbirne verlängern?,0.99389505
82,41187,Welche Lampen sind schwierig zu wechseln?,Welche Lampen sind schwierig zu ?,0.9834841
83,41192,Wie kann die USA einen neuen Bundesstaat aufnehmen? ,Wie kann die  einen neuen Bundesstaat aufnehmen? ,0.9938921
84,41205,Warum ist öffentliche Verkehrsmittel so beliebt in New York?,Warum  öffentliche Verkehrsmittel so beliebt in New York?,0.9967072
85,41202,In welche Teile ist das Straßennetz in Manhattan unterteilt?,In welche Teile ist  Straßennetz in Manhattan unterteilt?,0.9988991
86,41203,Welches Transportmittel benutzen die meisten Einwohner in New York?,Welches Transportmittel benutzen die meisten Einwohner in  York?,0.9987242
87,41204,Welches Transportmittel ist typisch für New York?,Welches Transportmittel  typisch für New York?,0.9967765
88,41211,Wie viele Menschen leben im südlichen Teil von Zypern?,Wie viele Menschen leben im südlichen Teil von ?,0.9782232
89,41214,Wie hoch ist der Migrantenanteil in Zypern?,Wie  ist der Migrantenanteil in Zypern?,0.9932726
90,41213,Wie viele Deutschen wohnen in Südzypern?,Wie viele  wohnen in Südzypern?,0.9960732
91,41215,Aus welchen Ländern kommen die meisten Migranten in Zypern?, welchen Ländern kommen die meisten Migranten in Zypern?,0.9958858
92,41219,Wie hängen Frequenz und Kapazität bei Kondensatoren zusammen?,Wie hängen Frequenz  Kapazität bei Kondensatoren zusammen?,0.9955016
93,41220,Wo wird ein Kondensator vorwiegend induktiv wirksam?,Wo  ein Kondensator vorwiegend induktiv wirksam?,0.9966549
94,41221,Als was wirkt der Kondensator bei höheren Frequenzen?,Als was wirkt der Kondensator  höheren Frequenzen?,0.9958901
95,41222,Welche Kondensatoren werden für Frequenzen um 100 MHz eingesetzt?,Welche Kondensatoren werden für Frequenzen um 100  eingesetzt?,0.9972254
96,41223,Für welchen Frequenzbereich sind Aluminium-Elektrolytkondensatoren wirksam?,Für welchen  sind Aluminium-Elektrolytkondensatoren wirksam?,0.9931321
97,41224,Wieso werden verschiedene Arten von Kondensatoren kombiniert?, werden verschiedene Arten von Kondensatoren kombiniert?,0.960224
98,41225,Was ist der Fachbegriff für die Gleichgewichtslinie beim Gletscher?,Was ist der  für die Gleichgewichtslinie beim Gletscher?,0.989724
99,41226,Was wird als Gleichgewichtslinie eines Gletschers bezeichnet?,Was wird als Gleichgewichtslinie  Gletschers bezeichnet?,0.99844474
100,41228,Wie ist das Zehrgebiet des Gletschers definiert?,Wie ist das Zehrgebiet des  definiert?,0.99395436
101,41229,Wie heißt der Bereich oberhalb der Gleichgewichtslinie des Gletschers?,Wie heißt  Bereich oberhalb  Gleichgewichtslinie des Gletschers?,0.9969961
102,41227,Wie heißt der Bereich unterhalb der Gleichgewichtslinie des Gletschers?,Wie heißt der  unterhalb der Gleichgewichtslinie des Gletschers?,0.9975475
103,41230,Wie ist das Akkumulationsgebiet des Gletschers definiert?,Wie ist das Akkumulationsgebiet des  definiert?,0.9936035
104,41279,In welchem Edikt wurde im osmanischen Reich die Gleichheit aller Bürger formal festgeschrieben?,In welchem Edikt wurde im osmanischen Reich die  aller Bürger formal festgeschrieben?,0.9969076
105,41280,Wann wurde das Edikt von Gülhane erlassen?,Wann wurde das  von Gülhane erlassen?,0.99573183
106,41282,Wann wurde der Hatt-i Hümayun erlassen?,Wann wurde der Hatt-i Hümayun ?,0.977139
107,41283,Wann wurde die griechische Bevölkerung aus dem Osmanischen Reich vertrieben?,Wann wurde die griechische Bevölkerung aus dem  Reich vertrieben?,0.9972798
108,41284,Welches Gesetz war Grundlage für den Genozid an den Armeniern im Osmanischen Reich?,Welches Gesetz  Grundlage für den Genozid an den Armeniern im Osmanischen Reich?,0.9940869
109,41288,Welche Gruppe mit nationalistischen Ideen erlangte in der Endphase des Osmanischen Reichs die Macht?,Welche Gruppe  nationalistischen Ideen erlangte in der Endphase des Osmanischen Reichs die Macht?,0.997892
110,41290,Wie viele Kasus gibt es im Tschechischen?,Wie  Kasus gibt es im Tschechischen?,0.99104595
111,41292,Welche Genera gibt es im Tschechischen?,Welche Genera gibt es im ?,0.9786117
112,41293,Zwischen was wird im Tschechischen beim männlichen Genus unterschieden?,Zwischen was wird im Tschechischen beim männlichen  unterschieden?,0.9979514
113,41294,Welche Artikel gibt es im Tschechischen?,Welche Artikel  es im Tschechischen?,0.99444
114,41296,Wann wurde ASCII eingeführt?,Wann wurde ASCII ?,0.9817829
115,41297,Wie viele Zeichen umfasst ASCII?,Wie viele  umfasst ASCII?,0.99556446
116,41299,Welche Buchstaben umfasst ASCII?,Welche  umfasst ASCII?,0.9859328
117,41301,Wie viele Steuerzeichen gibt es im ASCII-Code?,Wie  Steuerzeichen gibt es im ASCII-Code?,0.9937137
118,41349,Für wie viel Geld wurde Neymar zu Paris Saint Germain transferiert?,Für wie viel Geld wurde Neymar zu Paris Saint  transferiert?,0.99799824
119,41350,"In welcher Mannschaft spielte Ousman Dembélé, bevor er zu FC Barcelona gekommen ist?","In welcher Mannschaft spielte Ousman Dembélé, bevor er zu FC Barcelona  ist?",0.998467
120,41364,"Welche Art von Kondensatoren wurden mit ""cm"" gemessen?"," Art von Kondensatoren wurden mit ""cm"" gemessen?",0.98893994
121,41366,In welchem Jahr wurde die US-Army aufgestellt?,In  Jahr wurde die US-Army aufgestellt?,0.99174637
122,41367,Was sind die Aufgaben der US-Army?, sind die Aufgaben der US-Army?,0.98652136
123,41368,Welche Armeen der Welt haben mehr Mann als die US-Army?,Welche Armeen  Welt haben mehr Mann als die US-Army?,0.996105
124,41369,In welchem Teil von China liegt Zhejiang?,In welchem Teil von China liegt ?,0.9645472
125,41370,Woran grenzt Zhejiang im Norden?,Woran  Zhejiang im Norden?,0.98685014
126,41372,Was liegt südlich von Zhejiang?,Was liegt südlich von ?,0.9574184
127,41373,In welche Zonen wird Zhejiang gegliedert?,In  Zonen wird Zhejiang gegliedert?,0.9876808
128,41374,Wie viel Prozent der Fläche von Zhejiang bilden Gebirge?,Wie viel Prozent der Fläche von  bilden Gebirge?,0.9920303
129,41375,Wie viele Bergketen hat Zhejiang?,Wie viele Bergketen  Zhejiang?,0.9907819
130,41376,Wie hoch ist der höchste Punkt in Zhejiang?,Wie hoch ist der  Punkt in Zhejiang?,0.99607044
131,41377,Was ist der höchste Punkt in Zhejiang?,Was ist der  Punkt in Zhejiang?,0.98756737
132,41378,Welche Flüsse verlaufen in Zhejiang?,Welche Flüsse  in Zhejiang?,0.9934269
133,41379,Welche natürliche Seen gibt es in Zhejiang?,Welche natürliche Seen gibt es in ?,0.97706354
134,41380,Wie viele Inseln gibt es in Zhejiang?, viele Inseln gibt es in Zhejiang?,0.98740906
135,41391,Wie sieht die molekulare Struktur von Eis aus?,Wie  die molekulare Struktur von Eis aus?,0.9943709
136,41392,In welchem Fall bewegt sich die obere Gletscherschicht schneller als die darunterliegende?,In welchem Fall bewegt sich die obere Gletscherschicht schneller als die ?,0.9811417
137,41393,Warum ist die Fließgeschwindigkeit verschiedener Teile eines Gletschers nicht gleichmäßig?,Warum ist die Fließgeschwindigkeit verschiedener Teile eines Gletschers  gleichmäßig?,0.9963656
138,38513,In welchem Bundesstaat liegt Houston?,In welchem Bundesstaat  Houston?,0.9926971
139,38514,Wo liegt Houston?,Wo liegt ?,0.96280277
140,38515,Wie viel der Fläche von Houston besteht aus Wasser?,Wie  der Fläche von Houston besteht aus Wasser?,0.9892166
141,38516,In welchem County liegt Houston?,In welchem County  Houston?,0.9885948
142,38517,Wie heißt der Schifffahrtskanal in Houston?,Wie heißt der  in Houston?,0.9884571
143,38518,"Wie heißt der Fluss, der durch Houston fließt?","Wie heißt  Fluss,  durch Houston fließt?",0.99147224
144,38519,Wo mündet der Buffalo Bayou?,Wo mündet der Buffalo ?,0.9840798
145,41413,Wie heißt die Methode des Regenwassersammelns in Rajasthan?, heißt die Methode des Regenwassersammelns in Rajasthan?,0.9856508
146,41415,"Was versteht man unter dem ""Johad""?","Was versteht man unter dem """"?",0.99348634
147,41417,Welches Ergebnis hat der Bau von Johads in Rajasthan?,Welches Ergebnis hat der  von Johads in Rajasthan?,0.99489
148,41419,Was versuchen die Umweltorganisationen wie CSE in Indien zu verbessern?,Was versuchen  Umweltorganisationen wie CSE in Indien zu verbessern?,0.9989667
149,38624,Seit wann gibt es eine quelloffene Variante von Poseidon für AROS?,Seit wann gibt es eine quelloffene Variante von Poseidon  AROS?,0.99884325
150,38625,Ist USB mit Atari MINT benutzbar?, USB mit Atari MINT benutzbar?,0.98967737
151,38626,Welche USB-Versionen unterstützt Windows 10?,Welche USB-Versionen unterstützt Windows ?,0.9795801
152,38627,Kann man USB-Anschlüsse mit DOS benutzen?,Kann man -Anschlüsse mit DOS benutzen?,0.99246037
153,41435,Wann fand die Premier League erstmals statt?,Wann fand die Premier League erstmals ?,0.9725856
154,41436,Wie viele Vereine spielten beim ersten Turnier der Premier League teil?,Wie viele Vereine spielten beim ersten Turnier der Premier  teil?,0.9975579
155,41437,Welcher Verein erzielte das erste Tor in der Premier League?,Welcher Verein erzielte das erste Tor in der Premier ?,0.9772538
156,41438,Seit wann spielten in der Premier League nur noch 20 Vereine?,Seit wann spielten in  Premier League nur noch 20 Vereine?,0.9991195
157,41439,Was forderte die FIFA in Bezug auf die Anzahl der Vereine in der Premier League?,Was forderte  FIFA in Bezug auf  Anzahl der Vereine in der Premier League?,0.9983978
158,41440,Welcher war der erste nicht-englische Verein in der Premier League?,Welcher war der erste nicht- Verein in der Premier League?,0.9960283
159,41441,Wie hieß die Premier League vor 2007 offiziell?,Wie hieß  Premier League vor 2007 offiziell?,0.9978185
160,41448,Welches Audioformat wird beim HDTV hauptsächlich verwendet?, Audioformat wird beim HDTV hauptsächlich verwendet?,0.9858844
161,41449,Welche Filme verfügen bei HDTV nicht über Mehrkanalton?,Welche Filme verfügen bei HDTV  über Mehrkanalton?,0.9922955
162,41531,Wie schwer ist ein Schlachtreifer Strauß?,Wie schwer ist  Schlachtreifer Strauß?,0.9974437
163,41532,Welchem anderen Fleisch ist das Straußenfleisch ähnlich?, anderen Fleisch ist das Straußenfleisch ähnlich?,0.9804624
164,41536,Wer benutzt den deutschen Fußballjargon hauptsächlich?, benutzt den deutschen Fußballjargon hauptsächlich?,0.9767747
165,41537,Welche Art von Sprache ist der Fußballjargon?,Welche Art  Sprache ist der Fußballjargon?,0.9985076
166,41538,"Was ist das ""Sommermärchen""","Was ist  ""Sommermärchen""",0.99642116
167,41539,Welche Länder nutzen den Begriff Soccer?,Welche  nutzen den Begriff Soccer?,0.9894121
168,41540,Wie viele Touristen schlafen jährlich in Bern?, viele Touristen schlafen jährlich in Bern?,0.9793281
169,41541,Wie viele Touristen in Bern kommen aus dem Ausland?,Wie viele Touristen in  kommen aus dem Ausland?,0.99521035
170,41542,Woher kommen die meisten ausländischen Touristen Berns?,Woher kommen die meisten  Touristen Berns?,0.99455374
171,41543,Wann kommen die meisten Touristen nach Bern?, kommen die meisten Touristen nach Bern?,0.9809176
172,41599,Wer bewertete die Leistung von England im ersten Weltkrieg?,Wer  die Leistung von England im ersten Weltkrieg?,0.98603004
173,41600,Wer war 1921 britischer Premierminister?,Wer war 1921  Premierminister?,0.993791
174,41601,Seit wann hat England einen Generalstab?, wann hat England einen Generalstab?,0.9933154
175,41602,"Warum hat Lord Chatfield als ""Minister for Coordination of Defence"" keinen Erfolg?","Warum hat Lord Chatfield als ""Minister for Coordination of "" keinen Erfolg?",0.997815
176,41603,Wer führte in England das Amt des Verteidigungsministers ein?,Wer führte in  das Amt des Verteidigungsministers ein?,0.99536026
177,41604,Welche britischen Ministerien wurden zum heutigen Verteidigungsministerium zusammengefasst?,Welche britischen  wurden zum heutigen Verteidigungsministerium zusammengefasst?,0.996332
178,41606,In welcher Klimazone liegt Oklahoma City?,In welcher Klimazone liegt  City?,0.9969142
179,41607,Wann war der heißeste Tag in Oklahoma City?,Wann war der heißeste  in Oklahoma City?,0.99546236
180,41608,In welchem Monat regnet es in Oklahoma City im Schnitt am meisten?,In welchem Monat  es in Oklahoma City im Schnitt am meisten?,0.9906587
181,41609,Was war die kälteste gemessene Temperatur in Oklahoma City?,Was war die kälteste  Temperatur in Oklahoma City?,0.99669087
182,41610,Wie oft treten in Oklahoma City Tornados auf?,Wie oft treten in Oklahoma  Tornados auf?,0.99704975
183,41611,Seit wann ist Zypern EU-Mitglied?,Seit wann ist Zypern EU-?,0.9881345
184,41613,Welches Land erkennt Zypern nicht offiziell an?,Welches Land erkennt  nicht offiziell an?,0.99180365
185,41614,Seit wann gibt es den Euro in Zypern?,Seit  gibt es den Euro in Zypern?,0.9951605
186,41615,Welche Maßnahmen unternimmt die Türkei gegen Zypern?,Welche Maßnahmen unternimmt die  gegen Zypern?,0.9934294
187,41616,Wann war Zypern kurz vor dem Staatsbankrott?,Wann war Zypern kurz vor dem ?,0.9808594
188,41617,Wie viel Geld bekam Zypern von der EU um ein Staatsbankrott zu verhindern?,Wie viel Geld  Zypern von der EU um ein Staatsbankrott zu verhindern?,0.988788
189,38628,Wie wurde der Zusammenschluss mehrerer Sippen bei den Slawen genannt?,Wie wurde der Zusammenschluss  Sippen bei den Slawen genannt?,0.99701804
190,38629,Wie war das Zusammenleben in der lokalen Gemeinschaft bei den Slawen organisiert?,Wie war das Zusammenleben in der lokalen  bei den Slawen organisiert?,0.99803954
191,38630,Welchen Stellenwert hatte die Ehe bei den Slawen?,Welchen Stellenwert hatte die Ehe  den Slawen?,0.99678135
192,38546,Wo würde das frühere Baktrien heutzutage liegen?,Wo würde das frühere  heutzutage liegen?,0.9950731
193,38550,Wo herrschten die Shunga um 100 v. Chr.?,Wo herrschten die Shunga um 100 v. .?,0.99781466
194,38973,Welche Religion favorisierten die Shunga um 100  v. Chr.?,Welche Religion favorisierten  Shunga um 100  v. Chr.?,0.9981594
195,38060,Wer darf wie viele Vertreter in den Inselrat von St. Helena schicken?,Wer  wie viele Vertreter in den Inselrat von St. Helena schicken?,0.99289596
196,42109,Wie viele Menschen leben in Eritrea?,Wie  Menschen leben in Eritrea?,0.98096234
197,42110,Warum ist in Eritrea ein starkes Bevölkerungswachstum zu beobachten?,Warum  in Eritrea ein starkes Bevölkerungswachstum zu beobachten?,0.9948477
198,42111,Wie soll nach Einschätzungen die Bevölkerung in Eritrea bis 2050 anwachsen?,Wie  nach Einschätzungen die Bevölkerung in Eritrea bis 2050 anwachsen?,0.99473155
199,38177,Wie viele Tonnen Bomben wurden von den USA während des Koreakrieges abgeworfen?,Wie viele Tonnen Bomben wurden  den USA während des Koreakrieges abgeworfen?,0.99927694
200,38206,Seit wann hat in Griechenland das Fernsehen nicht mehr die meisten Werbeeinnahmen? , wann hat in Griechenland das Fernsehen nicht mehr die meisten Werbeeinnahmen? ,0.9973914
201,38207,Wie ist die Pressefreiheit in Griechenland im Vergleich zu anderen Ländern?,Wie ist die Pressefreiheit in Griechenland im Vergleich zu anderen ?,0.98666424
202,38251,Was ist ein Güteraufzug?,Was  ein Güteraufzug?,0.99295044
203,38252,Warum dürfen die Güteraufzüge nur von außen bedient werden?,Warum dürfen die  nur von außen bedient werden?,0.99375033
204,38253,Was ist eine Sonderform von Güteraufzügen?, ist eine Sonderform von Güteraufzügen?,0.9679782
205,38255,Wozu werden Kleinlastenaufzüge genutzt?, werden Kleinlastenaufzüge genutzt?,0.96041775
206,38256,Wofür werden Möbellifte benutzt?, werden Möbellifte benutzt?,0.97141224
207,38293,Wie heißen die vier Konservatorien in London?,Wie  die vier Konservatorien in London?,0.9912364
208,45264,Wann starb der Mann von Queen Victoria?, starb der Mann von Queen Victoria?,0.9699086
209,45268,Wie viele Kinder hatte Queen Victoria?, viele Kinder hatte Queen Victoria?,0.9893062
210,45276,Welche Krankheit wurde vor seinem Tod bei Queen Victorias Ehemann festgestellt?,Welche Krankheit wurde vor seinem  bei Queen Victorias Ehemann festgestellt?,0.9971734
211,45278,Welche Krankheiten werden heutzutage als Ursache für den Tod von Queen Victorias Mann vermutet?,Welche  werden heutzutage als Ursache für den Tod von Queen Victorias Mann vermutet?,0.9934009
212,45281,Wann starb die Mutter von Queen Victoria?,Wann starb die Mutter  Queen Victoria?,0.9934554
213,45298,Was war die schwierigste Krise in Queen Victorias Privatleben?,Was war die  Krise in Queen Victorias Privatleben?,0.9905876
214,45326,"Mit wem hatte der älteste Sohn von Queen Victoria eine Affäre in der Zeit, als sein Vater starb?","Mit wem hatte der älteste Sohn von Queen  eine Affäre in der Zeit, als sein Vater starb?",0.9992028
215,45331,Wieso reiste Queen Victorias Mann kurz vor seinem Tod nach Cambridge?,Wieso reiste Queen Victorias Mann kurz vor seinem Tod nach ?,0.9765982
216,45363,Welche Kleidung pflegte Queen Victoria nach dem Tod ihres Mannes zu tragen?,Welche Kleidung pflegte Queen Victoria nach dem  ihres Mannes zu tragen?,0.99652195
