,id,questions,questions_perturbed,similarity_scores
16,40479,"Wer hat erfahren, dass die Tuberkulose nicht nur Lungen beschädigen kann, sondern auch andere Organe?","Wer hat erfahren,  die Tuberkulose nicht nur Lungen beschädigen kann, sondern auch andere Organe?",0.9950966
17,40487,"Wie hat man am Ende des 19. Jahrhundert in Großbritannien versucht, die Tuberkulose zu bekämpfen?"," hat man am Ende des 19. Jahrhundert in Großbritannien versucht, die Tuberkulose zu bekämpfen?",0.95867515
18,40488,Was bedeutet die Pneumothorax-Technik bzw. Pneumolyse?,Was bedeutet die Pneumothorax- bzw. Pneumolyse?,0.97501105
19,40489,Wer hat zuerst die Resektion der Lungenabschnitte bei Tuberkulose ausgeführt?,Wer hat zuerst  Resektion der Lungenabschnitte bei Tuberkulose ausgeführt?,0.99361306
20,40490,"Wer hat das Bakterium, das die Tuberkulose auslöst, zuerst beschrieben?","Wer hat das Bakterium, das die Tuberkulose auslöst,  beschrieben?",0.9789896
21,40491,Welchen Preis gewann Robert Koch für die Entdeckung des Erregers von Tuberkulose?,Welchen Preis gewann Robert Koch für  Entdeckung des Erregers von Tuberkulose?,0.99790144
22,40492,Was führte zur Entwicklung des ersten Tuberkulose-Testes?,Was führte zur  des ersten Tuberkulose-Testes?,0.98441344
23,40493,Welche Diät kann bei der Behandlung der Hauttuberkulose helfen?,Welche Diät kann bei der Behandlung der  helfen?,0.8802543
24,40498,Wo spielte der FC Barcelona bei dessen Gründung?,Wo spielte der FC Barcelona bei  Gründung?,0.9730706
25,40499,Was war das erste Stadion des FC Barcelona?,Was war  erste Stadion des FC Barcelona?,0.99241614
26,40500,Wo fand das erste Spiel des FC Barcelona statt?,Wo fand das erste Spiel des FC Barcelona ?,0.98719764
27,40501,Was war die erste Spielstätte des FC Barcelona?,Was war die erste Spielstätte des FC ?,0.90891844
28,40502,Wie viele Fans passten in das erste Stadion des FC Bareclona?, viele Fans passten in das erste Stadion des FC Bareclona?,0.90439504
29,40503,Wie lange dauerte der Bau des Camp de Les Corts,Wie lange  der Bau des Camp de Les Corts,0.94942564
30,40511,In welchem weiteren Museums Haus hat Frida Kahlo abgesehen Vom Museo Frida Kahlo gewohnt?,In welchem weiteren Museums Haus hat  Kahlo abgesehen Vom Museo  Kahlo gewohnt?,0.9755639
31,40506,Wo in Mexiko-Stadt ist das Museo Frida Kahlo?,Wo in Mexiko-Stadt ist  Museo Frida Kahlo?,0.9926462
32,40507,Welche Farbe hat das Museo Frida Kahlo?,Welche Farbe  das Museo Frida Kahlo?,0.95424956
33,40509,In welchem Stil ist das Museo Frida Kahlo gebaut?,In welchem Stil ist das  Frida Kahlo gebaut?,0.9617717
34,40510,Mit wem war Frida Kahlo verheiratet?,Mit  war Frida Kahlo verheiratet?,0.9568563
35,40535,Was waren die Hauptprobleme der Aggregat-4 Rakete?,Was  die Hauptprobleme der Aggregat-4 Rakete?,0.9766173
36,40536,Was waren die Hauptmotive für den Wettlauf ins All?,Was waren die Hauptmotive für  Wettlauf ins All?,0.98364216
37,40540,Wer ist der größte Rosinen Exporteur der Welt?,Wer  der größte Rosinen Exporteur der Welt?,0.9771011
38,40541,Welches Land ist der größte Safran Exporteur?, Land ist der größte Safran Exporteur?,0.96056974
39,40542,Wie viel Prozent des Irans werden für die Landwirtschaft benutzt?,Wie viel Prozent des Irans werden  die Landwirtschaft benutzt?,0.96627
40,36767,Was tauschen Bakterien mit Sexpili untereinander aus?, tauschen Bakterien mit Sexpili untereinander aus?,0.9093388
41,36768,Wie können Bakterien auch ohne Sexpili DNA untereinander austauschen?,Wie können Bakterien auch ohne  DNA untereinander austauschen?,0.98415005
42,36789,Wie viele schwarze Menschen leben in Frankreich?,Wie viele  Menschen leben in Frankreich?,0.9249537
43,36790,Woher kommen die meisten Schwarzen Frankreichs?,Woher kommen die meisten  Frankreichs?,0.89572364
44,36798,Warum gab es in der französischen Regierung oft schwarze Minister?,Warum gab es in der französischen  oft schwarze Minister?,0.97311145
45,36799,Wo leben die meisten schwarzen in Frankreich?,Wo  die meisten schwarzen in Frankreich?,0.9102012
46,36800,Warum sind Schwarze aus Überseegebieten in Frankreich tendenziell besser integriert als Schwarze aus Schwarzafrika?,Warum sind Schwarze  Überseegebieten in Frankreich tendenziell besser integriert als Schwarze  Schwarzafrika?,0.98372775
47,36801,Wie viele Schwarze waren in der Fußballnationalmannschaft Frankreichs bei der WM 2006?,Wie viele Schwarze waren in der Fußballnationalmannschaft Frankreichs  der WM 2006?,0.9896189
48,36802,Wer wurde 2005 als schwarze Frau Ministerin in Frankreich?,Wer  2005 als schwarze Frau Ministerin in Frankreich?,0.9677874
49,41037,Was ist die beste Schweizer Fußball Liga?,Was ist die  Schweizer Fußball Liga?,0.89144826
50,41044,Was ist der größte Leichtathletik Verein der Schweiz?,Was  der größte Leichtathletik Verein der Schweiz?,0.9808532
51,37175,In welcher Eritreischen Stadt Produziert Tesinma Busse?,In welcher Eritreischen Stadt Produziert  Busse?,0.96808714
52,41049,Welche Voraussetzung muss der Staatspräsident von Zypern erfüllen?,Welche Voraussetzung muss der  von Zypern erfüllen?,0.93456155
53,41047,Wer ist das Staatsoberhaupt von Zypern?,Wer ist das Staatsoberhaupt von ?,0.87504214
54,41051,Wie lange ist die Amtsperiode des zypriotischen Staatspräsidenten?,Wie lange ist die Amtsperiode  zypriotischen Staatspräsidenten?,0.99089664
55,41052,Seit wann die ist das Amt des stellvertretenden Staatspräsidenten unbesetzt?,Seit wann die ist das Amt des stellvertretenden Staatspräsidenten ?,0.9286367
56,41053,Als was bezeichnete der Demokratieindex Zypern 2019?,Als  bezeichnete der Demokratieindex Zypern 2019?,0.95941174
57,41054,Wie heißt die große kommunistische Partei in Zypern?,Wie heißt die große kommunistische  in Zypern?,0.96356165
58,41055,Wie viele Sitze gibt es im Parlament von zypern?,Wie  Sitze gibt es im Parlament von zypern?,0.9295915
59,41056,In welchen Ländern gibt es die Sommerzeit?,In  Ländern gibt es die Sommerzeit?,0.9318373
60,41046,In welcher Jahreszeit wird auf die Sommerzeit umgestellt?,In welcher Jahreszeit wird auf die  umgestellt?,0.85654026
61,41057,Wann beginnt die Sommerzeit?,Wann  die Sommerzeit?,0.92633426
62,41067,Woher kommt der Begriff Pestizid?,Woher kommt  Begriff Pestizid?,0.9821743
63,41105,Von welchem Land ist die Kultur der Tristan da Cunha Inseln stark beeinflusst?,Von  Land ist die Kultur der Tristan da Cunha Inseln stark beeinflusst?,0.92452216
64,41107,Wie viel Alkohol trinken die Bewohner der Inseln Tristan da Cunhas?,Wie viel Alkohol  die Bewohner der Inseln Tristan da Cunhas?,0.9541338
65,41111,Wie viele polnische Spielfilme über Chopin gibt es?,Wie viele polnische Spielfilme über Chopin  es?,0.97417945
66,41115,Was sind die wichtigsten Abschnitt Maßeinheits Größen des Korans?,Was  die wichtigsten Abschnitt Maßeinheits Größen des Korans?,0.96890867
67,41116,Wofür ist die Einteilung des Korans in den Dschuz besonders praktisch?,Wofür ist die Einteilung des Korans in  Dschuz besonders praktisch?,0.99509984
68,41117,Wofür wird die Einteilung des Korans in 30 Teile beim Ramadan benutzt?,Wofür wird die Einteilung  Korans in 30 Teile beim Ramadan benutzt?,0.99276185
69,41118,An was erkennt man die einzelnen Unterteilungen des Korans?,An was erkennt man die einzelnen Unterteilungen des ?,0.9125343
70,41119,Was wird für die MP3 Kompression benutzt?,Was wird für die MP3  benutzt?,0.9537942
71,41122,Welches Verfahren zur Daten Kompression von Musik an Computern wird am häufigsten benutzt?,Welches Verfahren zur Daten Kompression  Musik an Computern wird am häufigsten benutzt?,0.9942828
72,41123,Wo wurde das MP3 Verfahren entwickelt?,Wo wurde  MP3 Verfahren entwickelt?,0.9886752
73,41124,Wann liefen die letzten Patente für das MP3 Format aus?,Wann liefen die letzten Patente  das MP3 Format aus?,0.9723096
74,41133,Welches Land hatte die größte freiwillige Armee im zweiten Weltkrieg?,Welches Land hatte die größte  Armee im zweiten Weltkrieg?,0.9841506
75,41134,Wo wurde die indische Armee am Anfang des zweiten Weltkriegs eingesetzt?,Wo wurde die indische  am Anfang des zweiten Weltkriegs eingesetzt?,0.96746576
76,41135,Wer gründete die Indische Legion in Europa?,Wer gründete die Indische Legion in ?,0.934007
77,41136,Wo hat Subhash Chandra Bose die Indische Nationale Armee gegründet?,Wo hat Subhash Chandra Bose  Indische Nationale Armee gegründet?,0.978264
78,41137,Wie viele Soldaten in Indien wurden während des Zweiten Weltkriegs getötet?,Wie  Soldaten in Indien wurden während des Zweiten Weltkriegs getötet?,0.92395586
79,41131,Warum wollte Indien in den zweiten Weltkrieg eintreten?,Warum wollte Indien in den  Weltkrieg eintreten?,0.939949
80,41132,Wie viel Mann hatte die indische Armee zu Beginn des zweiten Weltkrieges?,Wie viel Mann hatte die indische Armee zu Beginn des zweiten ?,0.9469252
81,41186,Was kann die Lebensdauer einer Glühbirne verlängern?,Was  die Lebensdauer einer Glühbirne verlängern?,0.9572708
82,41187,Welche Lampen sind schwierig zu wechseln?,Welche Lampen sind schwierig zu ?,0.95903945
83,41192,Wie kann die USA einen neuen Bundesstaat aufnehmen? ,Wie kann die  einen neuen Bundesstaat aufnehmen? ,0.9340408
84,41205,Warum ist öffentliche Verkehrsmittel so beliebt in New York?,Warum  öffentliche Verkehrsmittel so beliebt in New York?,0.9769766
85,41202,In welche Teile ist das Straßennetz in Manhattan unterteilt?,In welche Teile ist  Straßennetz in Manhattan unterteilt?,0.9932961
86,41203,Welches Transportmittel benutzen die meisten Einwohner in New York?,Welches Transportmittel benutzen die meisten Einwohner in  York?,0.9899716
87,41204,Welches Transportmittel ist typisch für New York?,Welches Transportmittel  typisch für New York?,0.9812202
88,41211,Wie viele Menschen leben im südlichen Teil von Zypern?,Wie viele Menschen leben im südlichen Teil von ?,0.84666765
89,41214,Wie hoch ist der Migrantenanteil in Zypern?,Wie  ist der Migrantenanteil in Zypern?,0.97076106
90,41213,Wie viele Deutschen wohnen in Südzypern?,Wie viele  wohnen in Südzypern?,0.9231455
91,41215,Aus welchen Ländern kommen die meisten Migranten in Zypern?, welchen Ländern kommen die meisten Migranten in Zypern?,0.9513898
92,41219,Wie hängen Frequenz und Kapazität bei Kondensatoren zusammen?,Wie hängen Frequenz  Kapazität bei Kondensatoren zusammen?,0.9556529
93,41220,Wo wird ein Kondensator vorwiegend induktiv wirksam?,Wo  ein Kondensator vorwiegend induktiv wirksam?,0.96479297
94,41221,Als was wirkt der Kondensator bei höheren Frequenzen?,Als was wirkt der Kondensator  höheren Frequenzen?,0.9621293
95,41222,Welche Kondensatoren werden für Frequenzen um 100 MHz eingesetzt?,Welche Kondensatoren werden für Frequenzen um 100  eingesetzt?,0.9616475
96,41223,Für welchen Frequenzbereich sind Aluminium-Elektrolytkondensatoren wirksam?,Für welchen  sind Aluminium-Elektrolytkondensatoren wirksam?,0.9202693
97,41224,Wieso werden verschiedene Arten von Kondensatoren kombiniert?, werden verschiedene Arten von Kondensatoren kombiniert?,0.9522118
98,41225,Was ist der Fachbegriff für die Gleichgewichtslinie beim Gletscher?,Was ist der  für die Gleichgewichtslinie beim Gletscher?,0.89984226
99,41226,Was wird als Gleichgewichtslinie eines Gletschers bezeichnet?,Was wird als Gleichgewichtslinie  Gletschers bezeichnet?,0.96841305
100,41228,Wie ist das Zehrgebiet des Gletschers definiert?,Wie ist das Zehrgebiet des  definiert?,0.84634084
101,41229,Wie heißt der Bereich oberhalb der Gleichgewichtslinie des Gletschers?,Wie heißt  Bereich oberhalb  Gleichgewichtslinie des Gletschers?,0.9723937
102,41227,Wie heißt der Bereich unterhalb der Gleichgewichtslinie des Gletschers?,Wie heißt der  unterhalb der Gleichgewichtslinie des Gletschers?,0.95896095
103,41230,Wie ist das Akkumulationsgebiet des Gletschers definiert?,Wie ist das Akkumulationsgebiet des  definiert?,0.86597514
104,41279,In welchem Edikt wurde im osmanischen Reich die Gleichheit aller Bürger formal festgeschrieben?,In welchem Edikt wurde im osmanischen Reich die  aller Bürger formal festgeschrieben?,0.9817263
105,41280,Wann wurde das Edikt von Gülhane erlassen?,Wann wurde das  von Gülhane erlassen?,0.93996024
106,41282,Wann wurde der Hatt-i Hümayun erlassen?,Wann wurde der Hatt-i Hümayun ?,0.9291423
107,41283,Wann wurde die griechische Bevölkerung aus dem Osmanischen Reich vertrieben?,Wann wurde die griechische Bevölkerung aus dem  Reich vertrieben?,0.9620634
108,41284,Welches Gesetz war Grundlage für den Genozid an den Armeniern im Osmanischen Reich?,Welches Gesetz  Grundlage für den Genozid an den Armeniern im Osmanischen Reich?,0.97402906
109,41288,Welche Gruppe mit nationalistischen Ideen erlangte in der Endphase des Osmanischen Reichs die Macht?,Welche Gruppe  nationalistischen Ideen erlangte in der Endphase des Osmanischen Reichs die Macht?,0.98720765
110,41290,Wie viele Kasus gibt es im Tschechischen?,Wie  Kasus gibt es im Tschechischen?,0.7929145
111,41292,Welche Genera gibt es im Tschechischen?,Welche Genera gibt es im ?,0.81950176
112,41293,Zwischen was wird im Tschechischen beim männlichen Genus unterschieden?,Zwischen was wird im Tschechischen beim männlichen  unterschieden?,0.9710601
113,41294,Welche Artikel gibt es im Tschechischen?,Welche Artikel  es im Tschechischen?,0.9125133
114,41296,Wann wurde ASCII eingeführt?,Wann wurde ASCII ?,0.93576795
115,41297,Wie viele Zeichen umfasst ASCII?,Wie viele  umfasst ASCII?,0.925
116,41299,Welche Buchstaben umfasst ASCII?,Welche  umfasst ASCII?,0.7998582
117,41301,Wie viele Steuerzeichen gibt es im ASCII-Code?,Wie  Steuerzeichen gibt es im ASCII-Code?,0.85915965
118,41349,Für wie viel Geld wurde Neymar zu Paris Saint Germain transferiert?,Für wie viel Geld wurde Neymar zu Paris Saint  transferiert?,0.97295105
119,41350,"In welcher Mannschaft spielte Ousman Dembélé, bevor er zu FC Barcelona gekommen ist?","In welcher Mannschaft spielte Ousman Dembélé, bevor er zu FC Barcelona  ist?",0.9869256
120,41364,"Welche Art von Kondensatoren wurden mit ""cm"" gemessen?"," Art von Kondensatoren wurden mit ""cm"" gemessen?",0.95307773
121,41366,In welchem Jahr wurde die US-Army aufgestellt?,In  Jahr wurde die US-Army aufgestellt?,0.94552654
122,41367,Was sind die Aufgaben der US-Army?, sind die Aufgaben der US-Army?,0.9500811
123,41368,Welche Armeen der Welt haben mehr Mann als die US-Army?,Welche Armeen  Welt haben mehr Mann als die US-Army?,0.9895765
124,41369,In welchem Teil von China liegt Zhejiang?,In welchem Teil von China liegt ?,0.881192
125,41370,Woran grenzt Zhejiang im Norden?,Woran  Zhejiang im Norden?,0.8764683
126,41372,Was liegt südlich von Zhejiang?,Was liegt südlich von ?,0.768926
127,41373,In welche Zonen wird Zhejiang gegliedert?,In  Zonen wird Zhejiang gegliedert?,0.9175173
128,41374,Wie viel Prozent der Fläche von Zhejiang bilden Gebirge?,Wie viel Prozent der Fläche von  bilden Gebirge?,0.888892
129,41375,Wie viele Bergketen hat Zhejiang?,Wie viele Bergketen  Zhejiang?,0.91477096
130,41376,Wie hoch ist der höchste Punkt in Zhejiang?,Wie hoch ist der  Punkt in Zhejiang?,0.95082134
131,41377,Was ist der höchste Punkt in Zhejiang?,Was ist der  Punkt in Zhejiang?,0.9169284
132,41378,Welche Flüsse verlaufen in Zhejiang?,Welche Flüsse  in Zhejiang?,0.959646
133,41379,Welche natürliche Seen gibt es in Zhejiang?,Welche natürliche Seen gibt es in ?,0.85059094
134,41380,Wie viele Inseln gibt es in Zhejiang?, viele Inseln gibt es in Zhejiang?,0.8557908
135,41391,Wie sieht die molekulare Struktur von Eis aus?,Wie  die molekulare Struktur von Eis aus?,0.93292224
136,41392,In welchem Fall bewegt sich die obere Gletscherschicht schneller als die darunterliegende?,In welchem Fall bewegt sich die obere Gletscherschicht schneller als die ?,0.96476775
137,41393,Warum ist die Fließgeschwindigkeit verschiedener Teile eines Gletschers nicht gleichmäßig?,Warum ist die Fließgeschwindigkeit verschiedener Teile eines Gletschers  gleichmäßig?,0.9387229
138,38513,In welchem Bundesstaat liegt Houston?,In welchem Bundesstaat  Houston?,0.92852485
139,38514,Wo liegt Houston?,Wo liegt ?,0.7155056
140,38515,Wie viel der Fläche von Houston besteht aus Wasser?,Wie  der Fläche von Houston besteht aus Wasser?,0.94781756
141,38516,In welchem County liegt Houston?,In welchem County  Houston?,0.9075297
142,38517,Wie heißt der Schifffahrtskanal in Houston?,Wie heißt der  in Houston?,0.7634746
143,38518,"Wie heißt der Fluss, der durch Houston fließt?","Wie heißt  Fluss,  durch Houston fließt?",0.94090605
144,38519,Wo mündet der Buffalo Bayou?,Wo mündet der Buffalo ?,0.90617985
145,41413,Wie heißt die Methode des Regenwassersammelns in Rajasthan?, heißt die Methode des Regenwassersammelns in Rajasthan?,0.9478195
146,41415,"Was versteht man unter dem ""Johad""?","Was versteht man unter dem """"?",0.73262423
147,41417,Welches Ergebnis hat der Bau von Johads in Rajasthan?,Welches Ergebnis hat der  von Johads in Rajasthan?,0.90516496
148,41419,Was versuchen die Umweltorganisationen wie CSE in Indien zu verbessern?,Was versuchen  Umweltorganisationen wie CSE in Indien zu verbessern?,0.99413663
149,38624,Seit wann gibt es eine quelloffene Variante von Poseidon für AROS?,Seit wann gibt es eine quelloffene Variante von Poseidon  AROS?,0.98000586
150,38625,Ist USB mit Atari MINT benutzbar?, USB mit Atari MINT benutzbar?,0.89410394
151,38626,Welche USB-Versionen unterstützt Windows 10?,Welche USB-Versionen unterstützt Windows ?,0.93425256
152,38627,Kann man USB-Anschlüsse mit DOS benutzen?,Kann man -Anschlüsse mit DOS benutzen?,0.8870733
153,41435,Wann fand die Premier League erstmals statt?,Wann fand die Premier League erstmals ?,0.9877115
154,41436,Wie viele Vereine spielten beim ersten Turnier der Premier League teil?,Wie viele Vereine spielten beim ersten Turnier der Premier  teil?,0.9727104
155,41437,Welcher Verein erzielte das erste Tor in der Premier League?,Welcher Verein erzielte das erste Tor in der Premier ?,0.9755682
156,41438,Seit wann spielten in der Premier League nur noch 20 Vereine?,Seit wann spielten in  Premier League nur noch 20 Vereine?,0.9960731
157,41439,Was forderte die FIFA in Bezug auf die Anzahl der Vereine in der Premier League?,Was forderte  FIFA in Bezug auf  Anzahl der Vereine in der Premier League?,0.9831056
158,41440,Welcher war der erste nicht-englische Verein in der Premier League?,Welcher war der erste nicht- Verein in der Premier League?,0.96798986
159,41441,Wie hieß die Premier League vor 2007 offiziell?,Wie hieß  Premier League vor 2007 offiziell?,0.9857438
160,41448,Welches Audioformat wird beim HDTV hauptsächlich verwendet?, Audioformat wird beim HDTV hauptsächlich verwendet?,0.94005424
161,41449,Welche Filme verfügen bei HDTV nicht über Mehrkanalton?,Welche Filme verfügen bei HDTV  über Mehrkanalton?,0.92328405
162,41531,Wie schwer ist ein Schlachtreifer Strauß?,Wie schwer ist  Schlachtreifer Strauß?,0.9826241
163,41532,Welchem anderen Fleisch ist das Straußenfleisch ähnlich?, anderen Fleisch ist das Straußenfleisch ähnlich?,0.95793855
164,41536,Wer benutzt den deutschen Fußballjargon hauptsächlich?, benutzt den deutschen Fußballjargon hauptsächlich?,0.82684153
165,41537,Welche Art von Sprache ist der Fußballjargon?,Welche Art  Sprache ist der Fußballjargon?,0.99334484
166,41538,"Was ist das ""Sommermärchen""","Was ist  ""Sommermärchen""",0.97876906
167,41539,Welche Länder nutzen den Begriff Soccer?,Welche  nutzen den Begriff Soccer?,0.9248474
168,41540,Wie viele Touristen schlafen jährlich in Bern?, viele Touristen schlafen jährlich in Bern?,0.8663079
169,41541,Wie viele Touristen in Bern kommen aus dem Ausland?,Wie viele Touristen in  kommen aus dem Ausland?,0.8623381
170,41542,Woher kommen die meisten ausländischen Touristen Berns?,Woher kommen die meisten  Touristen Berns?,0.92049515
171,41543,Wann kommen die meisten Touristen nach Bern?, kommen die meisten Touristen nach Bern?,0.8717894
172,41599,Wer bewertete die Leistung von England im ersten Weltkrieg?,Wer  die Leistung von England im ersten Weltkrieg?,0.8697253
173,41600,Wer war 1921 britischer Premierminister?,Wer war 1921  Premierminister?,0.91103333
174,41601,Seit wann hat England einen Generalstab?, wann hat England einen Generalstab?,0.9513016
175,41602,"Warum hat Lord Chatfield als ""Minister for Coordination of Defence"" keinen Erfolg?","Warum hat Lord Chatfield als ""Minister for Coordination of "" keinen Erfolg?",0.98542273
176,41603,Wer führte in England das Amt des Verteidigungsministers ein?,Wer führte in  das Amt des Verteidigungsministers ein?,0.92864406
177,41604,Welche britischen Ministerien wurden zum heutigen Verteidigungsministerium zusammengefasst?,Welche britischen  wurden zum heutigen Verteidigungsministerium zusammengefasst?,0.9611037
178,41606,In welcher Klimazone liegt Oklahoma City?,In welcher Klimazone liegt  City?,0.9321248
179,41607,Wann war der heißeste Tag in Oklahoma City?,Wann war der heißeste  in Oklahoma City?,0.9482761
180,41608,In welchem Monat regnet es in Oklahoma City im Schnitt am meisten?,In welchem Monat  es in Oklahoma City im Schnitt am meisten?,0.96921146
181,41609,Was war die kälteste gemessene Temperatur in Oklahoma City?,Was war die kälteste  Temperatur in Oklahoma City?,0.9749046
182,41610,Wie oft treten in Oklahoma City Tornados auf?,Wie oft treten in Oklahoma  Tornados auf?,0.9552972
183,41611,Seit wann ist Zypern EU-Mitglied?,Seit wann ist Zypern EU-?,0.9600496
184,41613,Welches Land erkennt Zypern nicht offiziell an?,Welches Land erkennt  nicht offiziell an?,0.9105751
185,41614,Seit wann gibt es den Euro in Zypern?,Seit  gibt es den Euro in Zypern?,0.9110786
186,41615,Welche Maßnahmen unternimmt die Türkei gegen Zypern?,Welche Maßnahmen unternimmt die  gegen Zypern?,0.9436638
187,41616,Wann war Zypern kurz vor dem Staatsbankrott?,Wann war Zypern kurz vor dem ?,0.86475396
188,41617,Wie viel Geld bekam Zypern von der EU um ein Staatsbankrott zu verhindern?,Wie viel Geld  Zypern von der EU um ein Staatsbankrott zu verhindern?,0.9598707
189,38628,Wie wurde der Zusammenschluss mehrerer Sippen bei den Slawen genannt?,Wie wurde der Zusammenschluss  Sippen bei den Slawen genannt?,0.9458503
190,38629,Wie war das Zusammenleben in der lokalen Gemeinschaft bei den Slawen organisiert?,Wie war das Zusammenleben in der lokalen  bei den Slawen organisiert?,0.975075
191,38630,Welchen Stellenwert hatte die Ehe bei den Slawen?,Welchen Stellenwert hatte die Ehe  den Slawen?,0.95956767
192,38546,Wo würde das frühere Baktrien heutzutage liegen?,Wo würde das frühere  heutzutage liegen?,0.879599
193,38550,Wo herrschten die Shunga um 100 v. Chr.?,Wo herrschten die Shunga um 100 v. .?,0.9723719
194,38973,Welche Religion favorisierten die Shunga um 100  v. Chr.?,Welche Religion favorisierten  Shunga um 100  v. Chr.?,0.98738104
195,38060,Wer darf wie viele Vertreter in den Inselrat von St. Helena schicken?,Wer  wie viele Vertreter in den Inselrat von St. Helena schicken?,0.96011406
196,42109,Wie viele Menschen leben in Eritrea?,Wie  Menschen leben in Eritrea?,0.8697233
197,42110,Warum ist in Eritrea ein starkes Bevölkerungswachstum zu beobachten?,Warum  in Eritrea ein starkes Bevölkerungswachstum zu beobachten?,0.9793585
198,42111,Wie soll nach Einschätzungen die Bevölkerung in Eritrea bis 2050 anwachsen?,Wie  nach Einschätzungen die Bevölkerung in Eritrea bis 2050 anwachsen?,0.97347414
199,38177,Wie viele Tonnen Bomben wurden von den USA während des Koreakrieges abgeworfen?,Wie viele Tonnen Bomben wurden  den USA während des Koreakrieges abgeworfen?,0.9947535
200,38206,Seit wann hat in Griechenland das Fernsehen nicht mehr die meisten Werbeeinnahmen? , wann hat in Griechenland das Fernsehen nicht mehr die meisten Werbeeinnahmen? ,0.97075295
201,38207,Wie ist die Pressefreiheit in Griechenland im Vergleich zu anderen Ländern?,Wie ist die Pressefreiheit in Griechenland im Vergleich zu anderen ?,0.9782867
202,38251,Was ist ein Güteraufzug?,Was  ein Güteraufzug?,0.9703506
203,38252,Warum dürfen die Güteraufzüge nur von außen bedient werden?,Warum dürfen die  nur von außen bedient werden?,0.8726817
204,38253,Was ist eine Sonderform von Güteraufzügen?, ist eine Sonderform von Güteraufzügen?,0.96146846
205,38255,Wozu werden Kleinlastenaufzüge genutzt?, werden Kleinlastenaufzüge genutzt?,0.92608476
206,38256,Wofür werden Möbellifte benutzt?, werden Möbellifte benutzt?,0.90489525
207,38293,Wie heißen die vier Konservatorien in London?,Wie  die vier Konservatorien in London?,0.94010574
208,45264,Wann starb der Mann von Queen Victoria?, starb der Mann von Queen Victoria?,0.7585265
209,45268,Wie viele Kinder hatte Queen Victoria?, viele Kinder hatte Queen Victoria?,0.7518221
210,45276,Welche Krankheit wurde vor seinem Tod bei Queen Victorias Ehemann festgestellt?,Welche Krankheit wurde vor seinem  bei Queen Victorias Ehemann festgestellt?,0.9616465
211,45278,Welche Krankheiten werden heutzutage als Ursache für den Tod von Queen Victorias Mann vermutet?,Welche  werden heutzutage als Ursache für den Tod von Queen Victorias Mann vermutet?,0.93284816
212,45281,Wann starb die Mutter von Queen Victoria?,Wann starb die Mutter  Queen Victoria?,0.976675
213,45298,Was war die schwierigste Krise in Queen Victorias Privatleben?,Was war die  Krise in Queen Victorias Privatleben?,0.90489125
214,45326,"Mit wem hatte der älteste Sohn von Queen Victoria eine Affäre in der Zeit, als sein Vater starb?","Mit wem hatte der älteste Sohn von Queen  eine Affäre in der Zeit, als sein Vater starb?",0.993798
215,45331,Wieso reiste Queen Victorias Mann kurz vor seinem Tod nach Cambridge?,Wieso reiste Queen Victorias Mann kurz vor seinem Tod nach ?,0.95270234
216,45363,Welche Kleidung pflegte Queen Victoria nach dem Tod ihres Mannes zu tragen?,Welche Kleidung pflegte Queen Victoria nach dem  ihres Mannes zu tragen?,0.94306785
